"Location Number","Location Name","Location Type","Address 1","Address 2","City","State","Zip Code","Telephone Number","District","Servicing Locations","Physical Close Date","Last Modified Date","Latitude","Longitude"
"583","MOUNT LAUREL NJ","Store","1420 Nixon Dr","Eastgate Square","Mount Laurel","NJ - New Jersey","08054","856-608-1600","MM 539 South Jersey","715;84;777;65;615;1372","","11/28/2024","39.9404483","-74.9584776"
"579","DEPTFORD NJ","Store","1851 Deptford Center Rd","","Deptford","NJ - New Jersey","08096","856-374-0404","MM 537 Dept-Atlantic","715;84;777;65;615;1372","","11/28/2024","39.827848","-75.09278749667163"
"581","MAYS LANDING NJ","Store","100 Consumer Sq","Hamilton Mall","Mays Landing","NJ - New Jersey","08330","609-485-0500","MM 537 Dept-Atlantic","715;84;777;65;615;1372","","11/28/2024","39.4541379","-74.6301061"
"692","VINELAND NJ","Store","3849 S Delsea Dr","","Vineland","NJ - New Jersey","08360","856-765-1880","MM 537 Dept-Atlantic","715;84;777;65;615;1372","","11/28/2024","39.4317259","-75.03983242050727"
"578","PRINCETON NJ","Store","251 Nassau Park Blvd","Nassau Park Shopping Ctr","Princeton","NJ - New Jersey","08540","609-514-9500","MM 235 Princeton/Oxd","715;781;777;65;615;1372","","11/28/2024","40.3030795","-74.67958439871788"
"475","BRICK NJ","Store","51 Chambersbridge Rd","","Brick","NJ - New Jersey","08723","732-477-4443","MM 690 E Brunswick","715;781;777;65;615;1372","","11/28/2024","40.0608288","-74.1386731"
"544","BRIDGEWATER NJ","Store","300 Commons Way","RM 544","Bridgewater","NJ - New Jersey","08807","908-429-9339","MM 227 New Brunswick","715;781;777;65;615;1372","","11/28/2024","40.5907663","-74.6213848537437"
"598","EAST BRUNSWICK NJ","Store","300 State Route 18","Suite 4","East Brunswick","NJ - New Jersey","08816","732-257-5293","MM 690 E Brunswick","715;781;777;65;615;1372","","11/28/2024","40.455934049999996","-74.40001265140265"
"1688","EDISON FLD SVC","Store","75 CARTER DR","","EDISON","NJ - New Jersey","08817","201-304-4245","MISCELLANEOUS","715;781;777;65;622;1372","","08/08/2024","40.5306572832118","-74.39530344149037"
"456","WOODBRIDGE NJ","Store","675 US Highway 1 S","","Iselin","NJ - New Jersey","08830","732-596-1220","MMkt 218 Woodbridge","715;781;777;65;615;1372","","11/28/2024","0.0","0.0"
"615","NEW YORK SERVICE","Store","300 Ridge Rd","DOCK DOOR #909","Piscataway","NJ - New Jersey","08854","732-376-4500","Central NJ","715;781;777;65","","08/28/2024","40.5576695","-74.51277078703583"
"1236","NEW YORK SALE EVENT","Store","300 Ridge Rd","","Piscataway","NJ - New Jersey","08854","732-376-4659","MISCELLANEOUS","715;781;777;65;615;1372","","08/08/2024","40.5576695","-74.51277078703583"
"2281","GSCC PERTH","Store","300 Ridge Rd","","Piscataway","NJ - New Jersey","08854","999-999-9999","MISCELLANEOUS","715;781;777;65;615;1372","","08/08/2024","40.5576695","-74.51277078703583"
"8216","SatRtl Javits Cnv Ct","Store","655 W 34th St","","New York","NY - New York","10001","999-999-9999","MISCELLANEOUS","715;781;777;65;615;1372","01/31/2023","06/25/2024","40.7570972","-74.0044345"
"1531","UNION SQUARE NY","Store","52 E 14th St","Number 64","New York","NY - New York","10003","212-466-4789","MM 234 Manhattan S","715;781;777;65;615;1372","","11/28/2024","40.7344365","-73.99044747854337"
"482","23RD AND 6TH  NY","Store","60 W 23rd St","","New York","NY - New York","10010","212-366-1373","MM 234 Manhattan S","715;781;777;65;615;1372","","11/28/2024","40.7426455","-73.9926972"
"609","BROADWAY NOHO NY","Store","622 Broadway","","New York","NY - New York","10012","212-673-4067","MISCELLANEOUS","715;781;777;65;615;1372","10/28/2023","08/08/2024","40.702928549999996","-73.946210002563"
"1028","44TH AND 5TH  NY","Store","531 5th Ave","","New York","NY - New York","10017","212-808-0309","MM 232 Manhattan N","715;781;777;65;615;1372","","11/28/2024","40.7547905","-73.9796725"
"1967","MOBILE REPAIR CENTER","Store","360 MADSION AVE","","NEW YORK","NY - New York","10017","212-867-2898","CLOSED BBYM LOCS","715;781;777;65;1372","","08/08/2024","0.0","0.0"
"1448","62ND AND BROADWAY NY","Store","1880 Broadway","","New York","NY - New York","10023","212-246-9734","MISCELLANEOUS","715;781;777;65;615;1372","10/29/2022","08/09/2024","40.7702685","-73.9818237"
"835","86TH AND LEXINGTN NY","Store","1280 Lexington Ave","","New York","NY - New York","10028","917-492-8870","MM 232 Manhattan N","715;781;777;65;615;1372","","11/28/2024","40.7801272","-73.9553231"
"469","STATEN ISLAND NY","Store","2795 Richmond Ave","Ste 39","Staten Island","NY - New York","10314","718-698-7546","MMkt 218 Woodbridge","715;781;777;65;615;1372","","11/28/2024","40.5763716","-74.1663052"
"1172","BRONX TERMINAL NY","Store","610 Exterior St","","Bronx","NY - New York","10451","718-402-2932","MM 216 Westchester","715;781;777;65;615;1372","","11/28/2024","40.82172475","-73.92998023397945"
"1891","FORDHAM RD NY","Store","402 E Fordham Rd","","Bronx","NY - New York","10458","718-329-8788","MM 216 Westchester","715;781;777;65;615;1372","","11/28/2024","40.8608744","-73.8916732"
"1261","BRONX RIVERDALE","Store","171 W 230th St","Ste 103","Bronx","NY - New York","10463","718-530-7720","MM 216 Westchester","715;781;777;65;615;1372","","11/28/2024","40.8772892","-73.9049751"
"822","HARTSDALE NY","Store","299 N Central Ave","","Hartsdale","NY - New York","10530","914-946-0707","MM 216 Westchester","715;781;777;65;615;1372","","11/28/2024","41.0269074","-73.7925293"
"1029","CORTLANDT NY","Store","3105 E Main St","","Mohegan Lake","NY - New York","10547","914-528-3807","MM 220 Hudson Valley","715;781;777;65;615;1372","","11/28/2024","41.310728850000004","-73.8712497981409"
"471","MOUNT VERNON NY","Store","555 E Sandford Blvd","","Mount Vernon","NY - New York","10550","914-664-4425","MM 216 Westchester","715;781;777;65;615;1372","","11/28/2024","40.90207815","-73.81961024646029"
"374","YONKERS NY","Store","2478 Central Park Ave","","Yonkers","NY - New York","10710","914-337-4077","MM 216 Westchester","715;781;777;65;615;1372","","11/28/2024","40.9815399","-73.8277989"
"461","MIDDLETOWN NY","Store","1100 N Galleria Dr","","Middletown","NY - New York","10941","845-692-7553","MM 220 Hudson Valley","715;781;777;65;615;1372","","11/28/2024","41.4553589","-74.3725386"
"1394","MONROE NY","Store","128 Bailey Farm Rd","","Monroe","NY - New York","10950","845-781-4799","MISCELLANEOUS","715;781;777;65;615;1372","10/28/2023","08/08/2024","41.3149575","-74.1504823"
"455","WEST NYACK NY","Store","1240 Palisades Center Dr","","West Nyack","NY - New York","10994","845-358-4070","MM 215 Bergen County","715;781;777;65;615;1372","","11/28/2024","41.0982977","-73.9576664"
"478","LONG ISLAND CITY NY","Store","5001 Northern Blvd","","Long Island City","NY - New York","11101","718-626-7585","MM 226 Queens","715;781;777;65;615;1372","","11/28/2024","40.7537612","-73.91165689314043"
"599","BAY PKWY BROOKLYN NY","Store","8923 Bay Pkwy","","Brooklyn","NY - New York","11214","718-265-6950","MM 226 Queens","715;781;777;65;615;1372","","11/28/2024","40.59357045","-73.99914147519186"
"2518","ATLANTIC CENTER NY","Store","625 Atlantic Ave","Ste A7","Brooklyn","NY - New York","11217","718-230-7480","MM 234 Manhattan S","715;781;777;65;615;1372","","11/28/2024","40.6838452","-73.9754366"
"1520","KINGS PLAZA NY","Store","5102 Avenue U","Ste 0171","Brooklyn","NY - New York","11234","718-677-8839","MISCELLANEOUS","715;781;777;65;615;1372","10/29/2022","08/09/2024","40.6100275","-73.9218086"
"1886","GATEWAY BROOKLYN NY","Store","369 Gateway Dr","","Brooklyn","NY - New York","11239","718-348-2739","MM 226 Queens","715;781;777;65;615;1372","","11/28/2024","40.65161105","-73.87265014027665"
"1115","FLUSHING NY","Store","13107 40th Rd","Ste C300","Flushing","NY - New York","11354","718-888-3629","MM 226 Queens","715;781;777;65;615;1372","","11/28/2024","40.7571222","-73.8355419"
"483","REGO PARK NY","Store","6135 Junction Blvd","","Rego Park","NY - New York","11374","718-393-2690","MM 226 Queens","715;781;777;65;615;1372","","11/28/2024","40.7331921","-73.8632155"
"1467","BALDWIN NY","Store","660 Sunrise Hwy","","Baldwin","NY - New York","11510","516-379-0760","MM 217 Long Island W","715;781;777;65;615;1372","","11/28/2024","40.6558436","-73.612512"
"2687","YB Garden City NY","Store","120-140 Glen Cove Rd","","Carle Place","NY - New York","11514","999-999-9999","MISCELLANEOUS","715;781;777;65;615;1372","","06/25/2024","40.744811600000006","-73.61693665"
"950","VALLEY STREAM NY","Store","6 West Cir","","Valley Stream","NY - New York","11581","516-561-7213","MM 217 Long Island W","715;781;777;65;615;1372","","11/28/2024","0.0","0.0"
"454","WESTBURY NY","Store","1100 Old Country Rd","","Westbury","NY - New York","11590","516-357-9025","MM 217 Long Island W","715;781;777;65;615;1372","","11/28/2024","40.7442584","-73.602036"
"3126","IHA MARKET 26","Store","1100 OLD COUNTRY RD","","WESTBURY","NY - New York","11590","888-237-8289","MISCELLANEOUS","715;781;777;65;615;1372","05/02/2024","08/08/2024","40.7442584","-73.602036"
"3127","IHA MARKET 27","Store","1050 OLD COUNTRY RD","","WESTBURY","NY - New York","11590","800-548-0828","MISCELLANEOUS","715;781;777;65;615;1372","05/02/2024","08/08/2024","40.7425247","-73.6056242"
"442","BAY SHORE NY","Store","1851 Sunrise Hwy","","Bay Shore","NY - New York","11706","631-969-8740","MM 229 Long Island E","715;781;777;65;615;1372","","11/28/2024","40.7410288","-73.2370598"
"458","S SETAUKET NY","Store","261 Pond Path","","South Setauket","NY - New York","11720","631-737-1632","MM 229 Long Island E","715;781;777;65;615;1372","","11/28/2024","40.884179700000004","-73.09921394538858"
"200","COMMACK NY","Store","3124 Jericho Tpke","","East Northport","NY - New York","11731","631-462-1256","MISCELLANEOUS","715;781;777;65;615;1372","03/02/2024","08/09/2024","40.8383616","-73.3184106"
"2697","COMMACK OUTLET","Store","3124 Jericho Tpke","","East Northport","NY - New York","11731","999-999-9999","MISCELLANEOUS","715;781;777;65;615;1372","10/02/2024","09/29/2024","40.8383616","-73.3184106"
"345","HUNTINGTN STATION NY","Store","148 Walt Whitman Rd","","Huntington Station","NY - New York","11746","631-427-5161","MM 217 Long Island W","715;781;777;65;615;1372","","11/28/2024","40.82556195","-73.41139746445472"
"467","LEVITTOWN NY","Store","3601 Hempstead Tpke","Ste 20 Nassau Mall","Levittown","NY - New York","11756","516-796-8095","MM 217 Long Island W","715;781;777;65;615;1372","","11/28/2024","40.72618775","-73.50302886567798"
"824","PATCHOGUE NY","Store","499 N Service Rd","Ste 39","Patchogue","NY - New York","11772","631-475-6269","MM 229 Long Island E","715;781;777;65;615;1372","","11/28/2024","40.777546","-73.036444"
"2484","3PP RECOMM GP-NY","Store","2110 Fifth Ave","","Ronkonkoma","NY - New York","11779","999-999-9999","MISCELLANEOUS","715;781;777;65;615","","08/08/2024","0.0","0.0"
"809","RIVERHEAD NY","Store","1440 Old Country Rd","Ste 100","Riverhead","NY - New York","11901","631-369-4150","MM 229 Long Island E","715;781;777;65;615;1372","","11/28/2024","40.9273661","-72.6919394"
"2614","WATERVLIET AUTO BAY","Store","861 1st St","","Watervliet","NY - New York","12189","518-244-4411","MM 682 Albany","726;781;777;65;615;1372","","06/25/2024","42.709573576300315","-73.71646849599911"
"428","ALBANY NY","Store","1 Crossgates Mall Rd","","Albany","NY - New York","12203","518-452-6881","MM 682 Albany","726;781;777;65;615;1372","","11/28/2024","42.6879215","-73.8480735"
"460","POUGHKEEPSIE NY","Store","2001 South Rd","","Poughkeepsie","NY - New York","12601","845-298-8077","MM 220 Hudson Valley","715;781;777;65;615;1372","","11/28/2024","41.625167000000005","-73.92159176718592"
